Ranking,Country,2014 Happiness Score,PPP USD thousands ,2014 % internet penetration (% of pop),2014 rural population,"2014 School enrollment, tertiary (% gross)",2014 Govement health expenditure
1,Denmark,7.6930,62.548,96.0,12.5900,81.03,84.01340764
2,Norway ,7.6550,97.199,96.3,19.3080,77.55,85.28893689
3,Switzerland,7.6500,86.605,87,26.3040,57.03,70.7952987
4,Netherlands ,7.5120,52.157,93.2,10.3100,94.85,na
5,Sweden ,7.4800,59.180,92.5,13.7530,62.18,83.36624002
6,Canada ,7.4770,50.633,87.1,18.782,66.00,73.56960053
7,Finland,7.3890,49.914,87.1,14.825,88.88,77.76613216
8, Austria,7.3690,51.704,81,42.474,78.97,75.48624911
9,Iceland ,7.3550,52.855,98.2,6.333,81.44,81.04018559
10,Australia ,7.3500,62.327,84.6,42.474,na,67.35788828
11,Israel,7.3010,37.539,71.5,7.896,66.19,na
12,Costa Rica ,7.2570,10.631,49.4,24.059,53.04,73.97301542
13,New Zealand ,7.2210,44.560,85.5,13.719,77.98,na
14, United Arab Emirates ,7.1440,44.443,90.4,14.625,na,70.97638401
15,Panama,7.1430,12.787,44.9,33.629,44.52,61.13153125
16,Mexico ,7.0880,10.580,44.4,21.007,30.23,51.79225149
17,United States,7.0820,54.696,87.4,18.517,88.63,49.98499281
18, Ireland ,7.0760,55.412,79.7,37.66,73.81,69.30107616
19,Luxembourg,7.0540,119.225,94.7,10.116,na,83.13675328
20,Venezuela ,7.0390,15.692,57,11.856,na,49.01220968
21,Belgium,6.9670,47.351,85,2.167,73.00,81.81960471
22,United Kingdom,6.8830,46.783,91.6,17.635,57.00,80.3156511
23,Oman,6.8530,20.469,70.2,19.855,35.00,78.77400559
24,Brazil ,6.8490,10.026,57.6,14.508,50.00,43.98666051
25,France ,6.7640,43.008,83.8,20.606,62.00,78.78767526
26,Germany,6.6720,48.043,86.2,22.81,64.00,84.2689396
27,Qatar,6.6660,86.853,91.5,1.132,13.00,86.74301674
28,Chile,6.5870,14.794,72.4,12.697,86.00,60.35286295
29,Argentina ,6.5620,12.245,64.7,8.623,83.00,70.37210032
30,Singapore,6.5460,56.957,82,0,nan,50.95213252
31,Trinidad and Tobago ,6.5190,20.081,65.1,46.587,nan,54.71325301
32,Kuwait ,6.5150,42.996,78.7,0,nan,85.94594595
33,Saudi Arabia ,6.4800,24.575,63.7,17.04,57.96,73.4250111
34,Cyprus ,6.4660,27.401,69.3,32.969,53.10,43.75467665
35,Colombia,6.4160,7.913,52.6,20.585,53.28,70.95424042
36,Thailand,6.3710,5.954,34.9,53.057,50.17,77.47099124
37,Uruguay,6.3550,16.738,17.7,5.055,60.65,77.47099124
38,Spain,6.3220,29.623,76.2,20.634,88.88,70.01414925
39,Czech Republic,6.2900,19.745,79.7,26.616,65.59,82.68672651
40,Suriname ,6.2690,9.564,40.1,33.911,na,48.37761107
